Milk Crown on Sonnetica - nameless	410.88	Expert+	10.08★	410.88	11604-12342
Happppy song - SOOOO	402.91	Expert+	9.72★	388.81	10201-10704
NUCLEAR-STAR - Camellia	392.68	Expert+	9.38★	365.67	9967-10437
Daisuki, Evolution - Minazuki Airi with Atsushi	367.15	Expert+	8.9★	329.93	4787-4105
G1ll35 d3 R415 - Team Grimoire	366.89	Expert+	9.09★	318.16	8541-8704
Hype feat. Such - PSYQUI	366.71	Expert+	8.88★	306.87	13917-15011
Overkill - RIOT	358.29	Expert+	8.14★	289.33	15287-16564
Acid burst - Memme	357.15	Expert+	8.71★	278.32	14446-15623
Walk This Way! - Kano	355.92	Expert+	8.58★	267.65	12484-13355
osu!memories - SakiZ	353.23	Expert+	8.49★	256.33	7368-7133
Sidetracked Day - VINXIS	352.65	Expert+	8.72★	246.95	14743-15947
Heeartbeeat Oveerheeat!!!! - Camellia feat. Nanahira	341.13	Expert+	8.23★	230.53	7940-8080
Brain Power (SDVX Mix) - NOMA	332.32	Expert	8.13★	216.71	8531-8692
Routine - Silent Siren	329.31	Expert+	7.67★	207.23	12597-13480
YELL! (feat. Moimoi) - DJ Genki & Camellia	329.03	Expert+	7.79★	199.81	12402-15548
Freedom Dive - v2	326.55	Expert+	7.72★	191.36	3037-2154
PUMP - YUC'e	324.42	Expert+	7.88★	183.46	11318-12010
Bluenation - yaseta	316.95	Expert+	7.49★	172.96	9512-9859
Blue Zenith - 	316.57	Expert+	7.55★	166.71	4074-3623
Labyrinth - Lapix	316.53	Expert+	7.69★	160.85	13703-16021
Ascension to Heaven - xi	315.82	Expert+	7.53★	154.88	10652-11215
RED ZONE - Tatsh & NAOKI	313.42	Expert+	7.51★	148.32	7651-7543
Ange du Blanc Pur - ke-ji feat. Nanahira	310.68	Expert+	7.36★	141.88	8409-11303
TIERRA - Dj Genki	308.14	Expert	7.25★	135.79	4402-3661
Setsuna Imitation (feat. Yurica, Hanatan)  - Yairi	307.44	Expert+	7.36★	130.74	7702-7606
Overkill - RIOT	305.93	Expert+	6.95★	125.55	9615-9995
Avalanche - Memme	303.65	Expert+	7.12★	120.25	6501-6116
Galactic Symphony - Mandragora	303.38	Expert	7.2★	115.94	6673-7528
Teo (ft. Hatsune Miku) - Omoi	298.28	Expert+	7.05★	110.00	5755-5216
HONESTY - GYZE feat. Ettore Rigotti	296.83	Expert+	7.21★	105.63	9817-10240
EmbryO - Kabocha	289.96	Expert+	7.53★	99.58	5074-4561
Hentacito - Luis Fonsi ft. Daddy Yankee/S3RL/DaymanOurSavior	289.80	Expert+	6.78★	96.04	7918-7926
quaver - dj TAKA	286.40	Expert+	6.82★	91.59	5265-4667
TWISTSTEP - Pa's Lam System	285.84	Expert+	6.89★	88.21	8533-8694
Tool-Assisted Speedcore - Kobaryo	285.59	Expert+	7.03★	85.05	10185-10687
RELOADED - EGOIST	283.31	Expert+	6.72★	81.42	7012-6707
g a r d e n (Short Ver.) - DM DOKURO	280.72	Expert+	6.62★	77.85	7933-7953
V for EXTREME - dj TAKA	273.92	Expert+	6.42★	73.31	4159-7891
Akasha - xi	273.19	Expert+	6.62★	70.55	9714-10121
Two-Faced Lovers feat. Miku - by Wowaka	273.19	Expert+	6.38★	68.08	7839-7808
ALTONA  - SOUND HOLIC Vs. SWING HOLIC	273.16	Expert+	6.48★	65.69	12896-13835
Der Wald (kors k Remix) - Erehamonika remixed by kors k	272.53	Expert	6.59★	63.25	4412-3669
Quo Vadis - M2U	272.48	Expert+	6.6★	61.02	9644-10033
Mare Maris - M2U	271.49	Expert+	6.54★	58.67	7656-7548
Phantasia - Yunosuke	270.65	Expert+	6.38★	56.44	9155-9452
Solace of Oblivion - Helblinde	270.43	Expert+	6.35★	54.42	6205-5733
CANDYYYLAND (Pa's Lam System Remix) - tofubeats	268.06	Expert+	6.32★	52.06	9022-9289
Black Emperor - Chart by Mystikmol	257.94	Expert	6.11★	48.34	9639-10028
DeltaMAX - DM Ashura	256.19	Expert+	5.99★	46.33	8309-9051
Cycle Hit - KASAI HARCORES	256.13	Expert+	6.48★	44.70	6812-6473
Sidetracked Day (Short Ver.) - VINXIS	254.08	Expert+	6.09★	42.79	16173-17562
Halcyon - xi	253.18	Expert+	6.13★	41.15	7815-7889
You're Everything - P*Light vs Yuyoyuppe	250.83	Expert+	5.85★	39.34	12915-13855
Wish upon Twin Stars - xi	250.60	Expert+	6.02★	37.93	11467-12180
Fallen (Short Ver.) - EGOIST	250.29	Expert	6.09★	36.55	7973-8632
Senpai Notice Me - Camellia ft. Nanahira	249.98	Expert+	5.91★	35.23	7816-7892
Inferno - 9mm Parabellum Bullet	246.47	Expert+	5.85★	33.52	6729-6371
Ievan Polkka - Nightcore - 	246.38	Expert+	5.8★	32.33	5621-5069
MariannE (Lanota Edit) - Yooh	242.70	Expert+	5.71★	30.74	5663-5118
Future Candy - YUC'e	242.27	Expert+	5.85★	29.61	16173-17562
ANiMA - Xi	241.26	Expert+	5.73★	28.45	3700-7449
Fallen (Short Ver.) - EGOIST	237.54	Expert+	5.74★	27.03	12178-13012
Monochrome Butterfly - Aitsuki Nakuru	236.26	Expert+	5.49★	25.95	7128-6891
Be Wild - Camellia feat. Yukacco	235.87	Expert+	5.63★	25.00	4697-4003
ParagonX9 - Infiltration - 	233.30	Expert+	5.46★	23.86	9785-10200
HONESTY - GYZE feat. Ettore Rigotti	230.89	Expert	5.43★	22.79	9311-9627
Midnight - Teikyou	230.68	Expert+	5.49★	21.97	5523-4968
Stay Alive (Jun Kuroda Bootleg Remix) - EMILIA (CV: Rie Takahashi)	228.56	Expert	5.38★	21.01	6501-6116
Deadly Nostalgia - Zemeth	227.28	Expert+	5.59★	20.16	10630-11190
Big Sky (Agnelli & Nelson Remix) - John O'Callaghan	224.25	Expert+	5.28★	19.19	13917-15011
Trusting - Merry (CV: Chika Anzai)	223.35	Expert+	5.2★	18.45	10244-10755
Hype feat. Such - PSYQUI	223.05	Expert	5.33★	17.78	14308-15468
ouroboros -twin stroke of the end- - Cranky VS MASAKI	221.44	Expert+	5.33★	17.03	3203-2281
