 Freedom Dive - v2	366.9	Expert+	9.19★	3037-2154
 G1ll35 d3 R415 - Team Grimoire	345.46	Expert+	8.66★	4787-4105
 Ange du Blanc Pur - ke-ji feat. Nanahira	345.19	Expert+	11.35★	4402-3661
 Your voice so - PSYQUI	320.54	Expert+	7.88★	5893-5368
 Blue Zenith - 	311.34	Expert+	7.55★	4074-3623
 Avalanche - Memme	292.78	Expert+	7.12★	5755-5216
 Glorious Crown (Short Ver.) - xi	291.26	Expert+	7.04★	3602-4723
 Big Sky (Agnelli & Nelson Remix) - John O'Callaghan	287.19	Expert+	6.94★	3203-2281
 You Say Run - My Hero Academia - 	285.15	Expert+	7★	4916-4261
 Everlasting Message - Chart by Mystikmol	282.1	Expert+	7.07★	4243-3477
 Night of Nights - 	279.35	Expert+	6.94★	1006-679
 TWISTSTEP - Pa's Lam System	275.19	Expert+	6.89★	5265-4667
 You Say Run - My Hero Academia - 	273.2	Expert	6.65★	4916-4261
 Cycle Hit - KASAI HARCORES	272.97	Expert+	6.48★	4412-3669
 Der Wald - Erehamonika remixed by kors k	268.42	Expert	6.59★	4768-4737
 Akasha - XI	266.47	Expert+	6.42★	4159-3379
 Mermaid girl (RyuRemix) - Cream puff	258.38	Expert+	6.42★	3935-3106
 In Between - Charted by PyroBillie	252.52	Expert+	6.33★	2086-1446
 Bassdrop Freaks - Camellia	250.06	Expert+	6.21★	4813-4417
 KAC 2012 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- - 	249.37	Expert+	6.28★	4438-3698
 Future Candy - YUC'e	242.62	Expert+	5.85★	5621-5069
 Rainbow Tylenol - Kitsune^2	241.56	Expert+	6.09★	1128-771
 Omega Rhythm 210 BPM ver. - UPLIFT SPICE	240.08	Expert+	5.71★	1308-909
 IMAGE -MATERIAL- - Version 0	238.26	Expert+	5.79★	2844-2011
 Ievan Polkka - Nightcore - 	236.93	Expert+	5.8★	5663-5118
 Burnt Rice (Aiobahn & Jh-Anu Remix) - Shawn Wasabi + YDG feat. YUNG GEMMY	235.11	Expert	5.77★	4488-3757
 CANDYYYLAND (Pa's Lam System Remix) - tofubeats	229.86	Expert+	5.75★	4900-4242
 ANiMA - Xi	225.58	Expert+	5.64★	3700-2824
 Awake - MY FIRST STORY	224.65	Expert+	5.63★	5361-4780
 Deadly Nostalgia - Zemeth	223.48	Expert+	5.59★	4697-4003
 Painkiller - Judas Priest 	223.38	Expert+	5.64★	519-323
 FLOWER - 	222.35	Expert+	5.5★	3736-2905
 HONESTY - GYZE	222.17	Expert+	5.39★	2898-2054
 In Between - Charted by PyroBillie	220.2	Expert	5.53★	2086-1446
 Our Wrenally - Chart by Kizuflux	218.83	Expert+	5.25★	4879-4219
 Close To Me - Sabrepulse	218.44	Expert+	5.24★	5174-4564
 MTC (Radio Edit) - S3RL	217.69	Expert+	5.57★	721-472
 HONESTY (TV Size) - GYZE feat. Ettore Rigotti	216.94	Expert+	5.17★	3744-2879
 Red Lips (Original Mix) - Deorro feat. Pasha	214.7	Expert+	5.3★	3921-3091
 iLLness LiLin  - Chart by Mystikmol	213.63	Expert	5.26★	5311-4716
 DADADADADA - 	211.18	Expert+	5.17★	1274-887
 Crack Traxxxx - Chart by Mystikmol	210.37	Expert+	5.28★	3855-3011
 Blastix Riotz - Chart by Mystikmol	208.38	Expert+	5.31★	1725-1211
 citrus - Chart by Mystikmol	206.43	Expert+	5.16★	3010-2136
 On the Verge of Assault - FFVII Crisis Core Soundtrack	204.45	Expert	5.02★	1335-929
 Lightning Rod - The Offspring	198.64	Expert+	4.98★	
 MAX 300 - 	197.95	Expert+	4.9★	1984-1382
 R4V3 B0Y (Rave Boy) - S3RL	197.65	Expert	4.94★	5803-5267
 SANTA SAN - MOMOIRO CLOVER Z	195.09	Expert+	4.89★	5636-5088
 cheatreal - t+pazolite	194.66	Expert+	4.69★	5289-4694
 Everything will freeze - 	192.7	Expert+	5.22★	131-76
 Teo - Araki / Omoi	190.19	Expert+	4.67★	3364-2434
 Blastix Riotz - Chart by Mystikmol	186.71	Expert	4.71★	1725-1211
 Youjo Senki - Los! Los! Los! - Aoi Yuuki	185.74	Hard	3.56★	3263-2334
 Everlasting Message - Chart by Mystikmol	184.91	Expert	4.65★	4243-3477
 Packet Hero - sana	184.48	Expert+	4.2★	2186-1510
 HE4VEN  - Chart by Mystikmol	183.84	Expert	4.61★	3554-2678
 Ghosts Play to the Audience - - PinocchioP	182.98	Expert	4.62★	2800-1972
 Hole In Your Heart - 	182.65	Expert	2.97★	1529-1073
 City Lights (Pa's Lam System Remix) - HyperJuice	177.41	Expert+	4.42★	5228-4625
 Flower Dance - 	177.26	Expert+	4.44★	2322-1605
 Crush - Pendulum	174.05	Expert+	4.32★	2773-1948
 Centipede - Knife Party	172.31	Expert+	4.31★	760-500
 Endless Tewi-Ma Park - IOSYS	172.22	Expert+	4.23★	1412-986
 Calamity Fortune - LeaF	172.04	Expert	4.29★	1087-741
 S3RL - Pika girl - 	171.7	Expert+	4.21★	2295-1585
 Bassline Yatteru? w (Feat. Nanahira) - Camellia	169.67	Expert	4.11★	2681-1870
 Kuss mich auf Franzosisch - Nightcore	169.33	Expert+	4.25★	5889-5364
 KAC 2012 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- - 	168.85	Expert	4.24★	4438-3698
 POP TEAM EPIC - by Sumire Uesaka	166.99	Expert+	4.02★	1595-1125
 Murasakiguruma - 	166.58	Expert	3.68★	1970-1372
 You Say Run - My Hero Academia - 	166.09	Hard	4.06★	4916-4261
 Reality Check Through The Skull - Mapped by Rickput	165.07	Expert+	4.14★	906-607
 Rockefeller Street - Nightcore	162.43	Expert	4.06★	3911-3079
 MilK - Morimori Atsushi	161.92	Expert+	3.81★	4425-3684
 Prayer - Chart by Mystikmol	160.54	Expert+	3.86★	2602-1812
 Lightning Rod - The Offspring	159.98	Expert	4.01★	
 theme of really cool bird - 	159.11	Expert+	3.98★	842-558
 Nine In the Afternoon - 	158.47	Hard	3.52★	2745-1923
 Sendan Life - splake	156.57	Expert+	3.76★	2973-2106
 Home - Resonance  - Electronic Gems	156.33	Expert	3.52★	2924-2074
 Omega Rhythm 210 BPM ver. - UPLIFT SPICE	154.12	Expert	3.87★	1308-909
 Watercolour - Pendulum	153.95	Expert	3.72★	697-460
 Spider Dance - Undertale OST	151.7	Expert	3.76★	2325-1608
 My Name is Jonas - Weezer	149.56	Expert	3.68★	1045-706
 Baby I'm Yours - Breakbot	149.45	Hard	3.56★	2525-1753
 BUBBLE TEA - dark cat	149.13	Expert	3.65★	5643-5097
 Kaizo Trap (Yazer) ScoreFix - Leslie Wai	148.84	Expert+	3.65★	3231-2303
 Under Our Spell - 	148.63	Expert	3.7★	1900-1322
 Death by Glamour - by Toby Fox	148.15	Expert+	3.54★	2415-1671
 Lay Down - Priestess	147.79	Expert	3.51★	864-577
 Xepher - Tatsh - DDR SuperNova (Dance Dance Revolution)	147.43	Expert	3.61★	2005-1399
 Youkoso Japari Park e - Kemono Friends OP	146.5	Hard	3.59★	136-80
 Ascalon - Qrispy Joybox	146.49	Expert	3.68★	3080-2186
 Dancing Lasha Tumbai - Verka Serduchka - 	146.4	Hard	3.6★	2631-1840
 Stitch - Wage War	146.37	Expert+	3.67★	1911-1329
 deltaMAX - DM Ashura	146.16	Expert	3.56★	357-210
 Birdy Nam Nam - Goin In - Skrillex Goin Hard Mix	145.9	Expert+	3.65★	466-284
 Bring Me To Life - Evanescence	145.83	Expert+	3.65★	3475-2709
 7 -Seven- - FLOW, GRANRODEO	145.65	Expert+	3.64★	1543-1084
 KIMONO PRINCESS - 	145.59	Expert	3.6★	2488-1725
 Break In-City - Tenacious D	145.47	Expert	3.71★	2700-1886
 Nirvana - kors k feat.RIRE - (Camellia's "BinaryHeaven" Remix)	145.45	Expert	3.65★	725-476
 Nirvana - kors k feat.RIRE - (Camellia's "BinaryHeaven" Remix)	145.4	Expert+	3.65★	725-476
 Neko Kuma Usasa - - Mizoguchi Yuma feat. Miko?Nachi?Ai	145.38	Expert	3.65★	3391-2463
 Stricken - Disturbed	145.14	Expert	3.46★	
 Trip to Ireland - 	145.02	Expert	3.47★	1352-941
 Sabaton - Ghost division - Sabaton	144.99	Expert	3.64★	1303-907
 Ultimate Ascension - Chart by Mystikmol	144.9	Expert+	3.43★	2483-1720
 Peace Sign - MHA OP 2	144.5	Expert	3.66★	1964-1367
 [Vocaloid] Nadeshiko color Heart [Hatsune Miku&Gumi] - YURRY CANON	144.47	Expert	3.65★	3395-2467
 Click Bait - Feat. Gl!tch	144.25	Expert	3.49★	712-467
 Fat Lip - Sum 41	143.69	Expert	3.61★	1417-990
 Nightcore - Hey Hey - 	143.03	Expert+	3.6★	2753-1930
 Fairy Tail - Strike Back - Back On	143	Expert	3.58★	2471-1711
 TSUBAKI - Ocelot	142.92	Expert	3.64★	3256-2328
 Boss Rush - USAO	142.64	Expert	3.58★	633-406
 [Vocaloid] Nadeshiko color Heart [Hatsune Miku&Gumi] - YURRY CANON	142.6	Hard	2.38★	3395-2467
 Knights of Cydonia (Single Edit) - Muse	142.44	Expert+	3.45★	1167-802
 Natsuiro Egao de 1 2 Jump! - 	142.35	Expert	3.6★	3018-2142
 Crescent Fangs (Crescent Moon Island Boss Theme) - Studio EIM	142.28	Expert	3.33★	2842-5082
 Blood On My Hands - The Used	142.16	Expert	3.48★	2137-1476
 Requiem For A Dream - (Beyond All What's Denied cover)	142.11	Expert	3.4★	1479-1037
 Hot Soap - Mapped by HarroweD	141.93	Expert	3.55★	553-349
 Ddaeng - BTS (RM, SUGA, J-HOPE)	141.87	Expert	3.57★	3179-2259
 ERIS - DeltaHedron	141.63	Expert+	3.43★	3476-2555
 Our Wrenally - Chart by Kizuflux	141.53	Expert	3.49★	4879-4219
 Xepher - Tatsh - DDR SuperNova (Dance Dance Revolution)	141.45	Hard	2.19★	2005-1399
 Braindead - Mapped by 20/20 Gamer	140.71	Expert+	3.54★	238-141
 Shake It - 	140.64	Expert	3.53★	638-409
 Motte ke ! Serafuku -  - from "Lucky Star	140.31	Expert	3.22★	2492-1728
 Toaru Shoukoku no Ohimesama ga - nao	140.31	Expert+	3.52★	1209-833
 Nevereverland - NANO	140.12	Expert	3.4★	2437-1686
 Bockey Mouse March - 	140.12	Expert	3.52★	1497-1050
 STOPITSOT VIDOSOV - (feat. Max +100500)	140.11	Expert	3.44★	2910-2062
 Ride On Shooting Star - by The Pillows	140.04	Expert+	3.51★	1105-754
 Kingdom - Young Tribe	139.67	Expert	3.55★	3070-2179
 Dragon Ball Super - 	139.61	Expert	3.44★	955-644
 I Write Sins Not Tragedies  - 	139.53	Expert	3.54★	2605-1815
 BTH 4 - Elysium Plus - (Charted by M.Rappold	139.5	Expert+	3.4★	2826-1996
 Supercalifragilisticexpialidocious (Eurobeat) - Go Go Girls 	139.42	Expert	3.5★	3123-2218
 Lone Digger - 	139.38	Hard	3.2★	684-447
 Can't Stop Raving - (Original Mix)	139.13	Expert+	3.41★	2036-1414
 Black Betty - Caravan Palace Cover	139	Expert	3.4★	788-520
 Madness7 - Cheshyre	138.93	Expert+	3.52★	2947-2089
 Pentakill - Different Heaven	138.46	Hard	3.49★	3316-2379
 Year 3000 - Busted	138.31	Expert	3.4★	3163-2248
 Tunak Tunak Tun (Eurobeat Mix) - Daler Mehndi	138.29	Expert+	3.48★	2304-1591
 Exit This Earth's Atomosphere - 	138.28	Expert+	3.47★	2784-1957
 Witchcraft - Pendulum	138.19	Expert	3.47★	847-563
 JOUNETSU  TAIRIKU - 	137.99	Expert	3.47★	1847-1281
 HYPE - 	137.7	Expert+	3.28★	330-194
 Sentience Uprising - Acid-Notation	137.65	Expert	3.35★	438-263
 Maware! Setsuketsuka - Unbreakable Machine Doll	137.3	Expert+	3.45★	892-597
 Sad_Machine (Darren Styles & Gammer Remix) - Porter Robinson	136.95	Expert	2.12★	0000-0000
 Call Ticketron - Run the Jewels	136.85	Expert	3.26★	961-5730
 BTH 5 - How To Save A Life - (Charted by M.Rappold)	136.51	Expert+	3.41★	3248-2320
 BTH 3 - Us Against the World - (Charted by M.Rappold)	136.43	Expert+	3.43★	2257-1563
 [EC1]Rio - Netsky Feat. Digital Farm Animals	136.19	Expert	3.31★	2670-1861
 Unhappy Refrain - ft. Hatsune Miku	136.13	Expert	2.96★	1988-1386
 Blood of Bannockburn - Sabaton	136	Expert	3.46★	2907-2060
 Swiggity - IZECOLD	135.99	Expert+	3.37★	3317-2380
 Fire Hive - Knife Party	135.74	Expert+	3.28★	1512-1061
 Russian Katyusha - USSR	135.71	Expert	3.26★	1573-1106
 S3RL - Masturbate to cartoons - 	135.6	Expert	3.43★	1364-950
 Toxicity - System of a Down	135.46	Expert+	3.4★	1903-1324
 Vagrant - Feint ft. Veela	135.22	Expert	3.3★	918-615
 Marry me, Nightmare - 	135.06	Expert+	3.5★	2387-1653
 The King of Lions - Camellia	135.01	Expert	3.4★	2156-1488
 Responsibility Response - Izumi Akazawa (CV. Madoka Yonezawa)	134.96	Expert	3.37★	5618-5134
 Magic Logic Labyrinth - a_hisa	134.76	Expert	3.38★	3440-2517
 DotA - 	134.7	Expert	3.3★	754-495
 Third Eye-a! - Coco, Shichijou Lettuce, Camellia	134.56	Expert	3.39★	1165-800
 Part 1 - Krayysh Remix	134.41	Expert	3.37★	26-8
 Cherry Pop - S3RL feat Gl!tch	134.17	Expert+	3.35★	2083-1445
 Map of the Problematique - Muse	134.12	Expert	3.26★	896-599
 Mischievous Of Alice - 	134.04	Expert	3.37★	782-515
 Sonic 1 - Star Light Zone (dance remix) - 	134.01	Expert	2.97★	1928-1339
 Do Not Look Down - MESHUGGAH	133.61	Expert	3.34★	923-620
 BTH 4 - So Fabulous!! - (Charted by M.Rappold)	133.54	Expert+	3.22★	2825-1995
 Nightcall - Kavinsky	133.53	Expert	3.32★	2748-1926
 Paradisus Paradoxum - MYTH & ROID	133.49	Expert	3.35★	2762-1938
 Dual of the Fates - Star Wars Remix	133.45	Expert+	3.26★	170-105
 Nico Nico Douga Medley - Jackscape	133.26	Expert+	3.33★	5534-4979
 Hyadain no Kakata Katamoi-C - (Nichijou OP1) by Hyadain	133.18	Expert+	3.33★	3068-2177
 Unity - 	133.15	Expert	3.19★	1241-862
 The Game Corner - (64.3)	133.09	Expert+	3.36★	1959-1363
 Lone Digger - Caravan Palace	132.85	Expert	3.49★	2725-1906
 Dr. Neo Cortex - Tulkuton Metal Remix	132.79	Expert	3.22★	2864-2029
 Godspeed - 	132.79	Expert	3.32★	1017-687
 Im so Happy - [Jubeat]	132.67	Expert	3.32★	1551-1089
 Opr - Gessaffelstein	132.64	Expert+	3.44★	1287-897
 Night of Nights - 	132.63	Hard	3.29★	1006-679
 HandClap - Fitz and the Tantrums	132.35	Expert	3.31★	3198-2735
 Duty Calls for 162BPM - Mastgrr (Team Fortress 2 Theme)	132.35	Expert+	3.33★	2348-1624
 Hellfire - Hommarju	132.03	Expert	3.33★	656-423
 Be Alright - Stonebank	131.96	Expert	3.31★	1567-1101
 Mami-zoo - 	131.78	Expert+	3.32★	3455-2533
 Nunchaku - Fantasy	131.66	Expert	3.27★	2338-1615
 Happy Synthesizer  - Chart by Mystikmol	131.45	Expert+	3.29★	1026-692
 Senbonzakura - Hatsune Miku	131.11	Expert+	3.18★	731-481
 Dempa Song with Hammer - Kana	130.95	Expert	3.3★	3082-2188
 Unhappy Refrain - ft. Hatsune Miku	130.94	Expert+	3.52★	1988-1386
 Kobayashi's Dragon Maid OP - Aozora no Rhapsody	130.88	Expert	3.27★	1208-832
 Bass Slut - 	130.68	Expert	3.23★	292-178
 SommerFagel (Bassnectar Remix) - Bassnectar	130.56	Expert+	3.32★	2859-2024
 My Hero Academia Opening 4 - My Hero Academia	130.48	Expert+	3.28★	181-109
 Descent Into Cerberon - Map by SD	130.47	Expert+	3.32★	2568-1785
 El Sonidito - Hechizeros Band	130.16	Expert	3.27★	756-497
 Shatter Me Feat. Lzzy Hale - Lindsey Stirling	130.1	Expert	3.29★	2459-1701
 Hide and Seek - 	130.05	Expert+	3.27★	2291-1583
 Ride On Shooting Star - by The Pillows	129.93	Expert	3.22★	1105-754
 Shatter Me Feat. Lzzy Hale - Lindsey Stirling	129.77	Expert+	3.28★	2459-1701
 Saint Pepsi - Private Caller - 	129.67	Expert	3.24★	703-463
 Nine nine eighty one - Yuezheng Ling	129.34	Expert	3.1★	2958-2098
 Reason Living - 	129.12	Expert	3.2★	2143-1481
 Meta Knight's Revenge - Kirby Super Star OST	129.12	Expert+	3.25★	1804-1255
 The Top ( Initial D) - Ken Blast	129.1	Expert	3.24★	588-375
 Huo Yuanjia - Jay Chou	128.98	Expert+	3.26★	2240-1548
 Boulevard of Broken Dreams - Green Day	128.95	Expert	3.18★	1339-932
 Pastels - Feint	128.94	Expert	3.26★	1450-1013
 Dear You - DJ Genericname	128.91	Expert	3.24★	1052-713
 E? Aa, Sou - ft. Hatsune Miku	128.53	Expert	3.23★	
 E? Aa, Sou - ft. Hatsune Miku	128.5	Expert+	3.23★	
 Cliffs Of Dover - [WIP] (GH3)	128.37	Expert+	3.25★	2969-2103
 Okay - Shiba San	128.35	Expert+	3.17★	336-198
 Maware! Setsuketsuka - Unbreakable Machine Doll	128.21	Expert	3.23★	892-597
 Hatsune Miku no Gekishou - 	128.16	Expert+	3.23★	1206-830
 No No No - TheFatRat	128.14	Expert	3.01★	3026-2148
 The Drugs - Mother Mother	127.93	Expert	3.33★	3357-2425
 We Like to Party - 	127.82	Expert	3.25★	2145-1483
 Hyadain no Kakata Katamoi-C - (Nichijou OP1) by Hyadain	127.71	Expert	3.2★	3068-2177
 Swiggity - IZECOLD	127.66	Expert	3.2★	3317-2380
 Come With Me - Special D	127.61	Expert+	3.2★	2489-1726
 Nekomimi Switch - Artist: daniwellP / Vocal: Hatsune Miku	127.4	Expert	3.19★	2183-1508
 The Diary of Jane - 	127.37	Expert	3.23★	2480-1717
 Im so Happy - Jubeat	127.18	Expert	3.24★	1729-1214
 Dyscontrolled Galaxy  - Chart by Mystikmol	127.08	Expert+	3.25★	
 Jordan - King Of Eurobeat - 	126.86	Expert	3.11★	3144-2233
 Song Of Storms - Ephixa	126.84	Expert	2.98★	3339-2405
 For the Swarm - 	126.67	Expert	3.09★	3069-2178
 Cirnos perfect math class - IOSYS	126.6	Expert	3.17★	1684-1182
 Umarun Taisou - 	126.47	Hard	3.16★	1931-1342
 My Hero Academia Opening 1 - NateWantsToBattle	126.38	Expert+	3.08★	2792-1965
 Sea Shanty 2 - Old School RuneScape	126.32	Expert	3.18★	2711-1895
 BLOODRED - D-selections	126.3	Expert	3.17★	3147-2235
 Shinedown - Brilliant	126.03	Expert	3.2★	2352-1625
 BADGERS (TROLL TRACK) - ITS A SNAAAAAAKE (Im sorry)	125.94	Expert+	3.16★	1360-947
 Burn My Dread (Short Ver.) - Persona 3 OST	125.91	Expert+	3.12★	5285-4739
 Highscore - 	125.86	Expert	3.05★	446-270
 Taiyou Paradise - nao	125.75	Expert+	3.16★	1085-739
 Hatsune Miku - Senbonzakura (Frontliner Remix) - 	125.67	Expert	3.02★	2716-1899
 Punjabi - 	125.6	Expert	3.14★	815-537
 Ashpyxia - Tokyo Ghoul Re OP	125.51	Expert	3.16★	2177-1504
 Rockefeller Street - Nightcore	125.5	Expert	3.16★	795-524
 Space Battleship Yamato - Odyssey of the Celestial Ark OST	125.48	Expert+	3.03★	2101-1458
 Mine (Win and Woo Remix) - Phoebe Ryan	125.35	Expert	3.17★	3185-2265
 GIRL LIKE YOU - maroon 5	125.3	Expert	3.11★	2678-1867
 Maware! Setsuketsuka - Unbreakable Machine Doll	125.25	Hard	3.15★	892-597
 Whatever, whatever, whatever - Neru	125.23	Hard	2.75★	2799-1971
 Ghosts Play to the Audience - - PinocchioP	125.11	Hard	3.17★	2800-1972
 Soldiers - Otherwise	125.07	Expert+	3.08★	2831-2000
 Mick Gordon - BFG Division - (DOOM 2016 OST, id Software, Bethesda Softworks)	125.06	Expert+	3.24★	1555-1092
 Tongue Tied - Earl	125.04	Expert	3.13★	1817-1258
 Twisted - Hopsin	124.98	Expert	3.06★	2880-2043
 Umapyoi Densetsu - TV Size	124.83	Expert	3.14★	2118-1470
 Send Bobs - Hovey Benjamin	124.8	Expert+	3.03★	2272-1572
 What is Love - Haddaway	124.61	Expert	2.67★	2552-1773
 Hop - 	124.59	Hard	2.57★	1932-1343
 I Apologize - Five Finger Death Punch	124.39	Expert+	3.05★	2734-1912
 Forbidden - S3RL ft Avanna [Vocaloid]	124.37	Expert	3.04★	3509-2596
 Tao Ngoi - 	124.37	Expert	3.01★	2190-1513
